FLCSX,HAIAX,DFUSX,PRBLX,DGAGX,TISCX,VDIGX,DFELX,MRGAX,BRLIX
9719.990786583268,11201.094652937687,10993.565731457962,21361.059871606914,12802.337027562937,11635.535165542877,14181.81486282974,8646.155548728062,14051.363989272395,10571.117269552962
9142.457288158012,10591.049398472587,10400.776917083009,20264.199422309855,12345.890098160204,10948.606036143929,13820.858397970376,8170.410846635985,13134.972061835204,10107.840924491062
8379.678987552728,9879.329453315042,9613.984059672963,19119.99466680715,11508.038711162142,10145.426416727702,13222.427941457345,7591.240565223684,12073.485716197805,9518.21847794747
9365.844828885827,10819.816489300732,10725.60401858932,20714.825705880932,12567.863083811975,11360.764412725759,14352.79673177979,8428.965121219415,13486.25655722768,10486.88674398314
9267.773705241421,10743.561434511254,10693.10076134871,20651.52391097913,12652.273741227154,11403.036432864468,14533.276316389947,8377.254266302729,13409.889527020458,10500.923599276652
9344.051619335301,10777.450750539072,10725.60401858932,21215.48325814636,12671.03176972173,11159.968384193626,14647.258369574587,8377.254266302729,13310.616005220007,10416.691821198994
9916.361604589969,11339.94905284645,11288.695043778473,21759.394253566166,13169.390242134028,11907.296708469737,15171.176920983642,8867.315102375014,14041.528995596183,11103.758750959107
10514.85890337988,11900.57579954339,11769.060982182511,22437.859749519157,13838.479636413833,12326.792702894498,15574.206481339064,9254.217353719854,14625.315002412399,11562.829174715072
10888.23001138568,12299.80953092825,12129.343667992744,22841.706545679586,14111.192801949079,12660.239677537353,15929.257974061797,9567.917620172719,15086.196371588218,11950.168474828724
10734.489312932388,12214.86710606644,12086.838851280689,23107.318014976932,13974.838573233523,12563.432563846078,15929.257974061797,9515.636015945382,15009.382810058914,11821.056209796063
9883.418849874164,11484.353583186168,11353.30905615625,22005.81003025854,13076.424959505595,11735.193425074905,15113.599724155183,8940.513217780137,14079.938602508442,11175.488622093586
10317.188929748707,11917.563321285896,11758.39230084733,22605.166951474734,13611.194967676982,12079.394748033545,15555.013631669419,9285.588250999683,14479.36708763454,11706.288916984031
10449.320451692714,12053.474090754362,11988.25891862246,23336.362898248168,13979.138955550412,12154.690168618383,15885.051137775357,9473.279645493092,14725.171841079162,11907.132305659004
10839.794027531176,12376.259158148665,12252.460250600738,23734.641612970412,14212.552634250176,12466.627697510956,16127.647189070325,9693.58984677606,15124.602587123347,12093.628217097683
